iso_8601,seconds_in_day,HH,MM,SS,bucket
00:02:00,120,00,02,00,EARLY MORNING
00:02:01,121,00,02,01,EARLY MORNING
00:02:02,122,00,02,02,EARLY MORNING
00:02:03,123,00,02,03,EARLY MORNING
00:02:04,124,00,02,04,EARLY MORNING
00:02:05,125,00,02,05,EARLY MORNING
00:02:06,126,00,02,06,EARLY MORNING
00:02:07,127,00,02,07,EARLY MORNING
00:02:08,128,00,02,08,EARLY MORNING
00:02:09,129,00,02,09,EARLY MORNING
00:02:10,130,00,02,10,EARLY MORNING
00:02:11,131,00,02,11,EARLY MORNING
00:02:12,132,00,02,12,EARLY MORNING
00:02:13,133,00,02,13,EARLY MORNING
00:02:14,134,00,02,14,EARLY MORNING
00:02:15,135,00,02,15,EARLY MORNING
00:02:16,136,00,02,16,EARLY MORNING
00:02:17,137,00,02,17,EARLY MORNING
00:02:18,138,00,02,18,EARLY MORNING
00:02:19,139,00,02,19,EARLY MORNING
00:02:20,140,00,02,20,EARLY MORNING
00:02:21,141,00,02,21,EARLY MORNING
00:02:22,142,00,02,22,EARLY MORNING
00:02:23,143,00,02,23,EARLY MORNING
00:02:24,144,00,02,24,EARLY MORNING
00:02:25,145,00,02,25,EARLY MORNING
00:02:26,146,00,02,26,EARLY MORNING
00:02:27,147,00,02,27,EARLY MORNING
00:02:28,148,00,02,28,EARLY MORNING
00:02:29,149,00,02,29,EARLY MORNING
00:02:30,150,00,02,30,EARLY MORNING
00:02:31,151,00,02,31,EARLY MORNING
00:02:32,152,00,02,32,EARLY MORNING
00:02:33,153,00,02,33,EARLY MORNING
00:02:34,154,00,02,34,EARLY MORNING
00:02:35,155,00,02,35,EARLY MORNING
00:02:36,156,00,02,36,EARLY MORNING
00:02:37,157,00,02,37,EARLY MORNING
00:02:38,158,00,02,38,EARLY MORNING
00:02:39,159,00,02,39,EARLY MORNING
00:02:40,160,00,02,40,EARLY MORNING
00:02:41,161,00,02,41,EARLY MORNING
00:02:42,162,00,02,42,EARLY MORNING
00:02:43,163,00,02,43,EARLY MORNING
00:02:44,164,00,02,44,EARLY MORNING
00:02:45,165,00,02,45,EARLY MORNING
00:02:46,166,00,02,46,EARLY MORNING
00:02:47,167,00,02,47,EARLY MORNING
00:02:48,168,00,02,48,EARLY MORNING
00:02:49,169,00,02,49,EARLY MORNING
00:02:50,170,00,02,50,EARLY MORNING
00:02:51,171,00,02,51,EARLY MORNING
00:02:52,172,00,02,52,EARLY MORNING
00:02:53,173,00,02,53,EARLY MORNING
00:02:54,174,00,02,54,EARLY MORNING
00:02:55,175,00,02,55,EARLY MORNING
00:02:56,176,00,02,56,EARLY MORNING
00:02:57,177,00,02,57,EARLY MORNING
00:02:58,178,00,02,58,EARLY MORNING
00:02:59,179,00,02,59,EARLY MORNING
00:03:00,180,00,03,00,EARLY MORNING
00:03:01,181,00,03,01,EARLY MORNING
00:03:02,182,00,03,02,EARLY MORNING
00:03:03,183,00,03,03,EARLY MORNING
00:03:04,184,00,03,04,EARLY MORNING
00:03:05,185,00,03,05,EARLY MORNING
00:03:06,186,00,03,06,EARLY MORNING
00:03:07,187,00,03,07,EARLY MORNING
00:03:08,188,00,03,08,EARLY MORNING
00:03:09,189,00,03,09,EARLY MORNING
00:03:10,190,00,03,10,EARLY MORNING
00:03:11,191,00,03,11,EARLY MORNING
00:03:12,192,00,03,12,EARLY MORNING
00:03:13,193,00,03,13,EARLY MORNING
00:03:14,194,00,03,14,EARLY MORNING
00:03:15,195,00,03,15,EARLY MORNING
00:03:16,196,00,03,16,EARLY MORNING
00:03:17,197,00,03,17,EARLY MORNING
00:03:18,198,00,03,18,EARLY MORNING
00:03:19,199,00,03,19,EARLY MORNING
00:03:20,200,00,03,20,EARLY MORNING
00:03:21,201,00,03,21,EARLY MORNING
00:03:22,202,00,03,22,EARLY MORNING
00:03:23,203,00,03,23,EARLY MORNING
00:03:24,204,00,03,24,EARLY MORNING
00:03:25,205,00,03,25,EARLY MORNING
00:03:26,206,00,03,26,EARLY MORNING
00:03:27,207,00,03,27,EARLY MORNING
